FID,occurrenceId,url,isPresentObservation,dataProviderId,datasetName,startDate,endDate,modified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,county,province,institutionCode,recordedBy,reportedBy,habitat,occurrenceRemarks,eventRemarks,dyntaxaTaxonId,taxonCategory,organismGroup,vernacularName,scientificName,isRedlisted,redlistCategory,isProtectedByLaw,isInvasiveInSweden,isInvasiveEu,invasiveRiskCategory,actionPlan,isHabitatsDirectiveAnnex2,isHabitatsDirectiveAnnex4,isHabitatsDirectiveAnnex5,isVerified,isUncertainIdentification,activity,lifeStage,gender,substrate,organismQuantity,organismQuantityUnit,isNaturalOccurrence,isNeverFoundObservation,isNotRediscoveredObservation,birdNestActivityId,project1Id,project1Name,project1Category,project1Url,project1Values,project2Id,project2Name,project2Category,project2Url,project2Values,point,pointLocation
SpeciesObservationsInvasive.siXXE44BkijtpyHn8RdJ,urn:lsid:artportalen.se:sighting:336044,https://www.artportalen.se/sighting/336044,true,1,Artportalen,2005-06-26T00:00:00,2005-06-26T23:59:59,2005-12-21T15:21:00,59.34066,14.58927,10,"Öster om Östra kyrkogården, Vrm",Karlskoga,Örebro,Värmland,,Owe Nilsson,Owe Nilsson,Igenväxande äng,,,1236,Art,Kärlväxter,blårapunkel,Phyteuma nigrum,false,NA,false,true,false,LO,,false,false,false,false,false,,blomning,,,55,,true,false,false,0,,,,,,,,,,,POINT (14.589269034799912 59.34066121663057),POINT (14.589269034799912 59.34066121663057)
SpeciesObservationsInvasive.LyXXE44BkijtpyHn8RhJ,urn:lsid:artportalen.se:sighting:336943,https://www.artportalen.se/sighting/336943,false,1,Artportalen,1998-08-24T00:00:00,1998-08-24T23:59:59,2020-09-29T20:43:10,56.45356,16.02994,100,"Dammlyckan, 700 m SO om, O om vägen, Sm",Torsås,Kalmar,Småland,Floraväktarna,Via Åke Rühling,Åke Rühling,"Grustag, sedan några år orörd mark, ganska fuktigt",Observatör: Jan-Erik Persson.,,1037,Art,Kärlväxter,rundmynta,Mentha suaveolens,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,true,0,4102,Floraväkteri Sverige,Floraväkteri,https://www.artportalen.se/Project/View/4102,,,,,,,POINT (16.029942171706594 56.45356200630475),POINT (16.029942171706594 56.45356200630475)
SpeciesObservationsInvasive.MyXXE44BkijtpyHn8RhJ,urn:lsid:artportalen.se:sighting:336243,https://www.artportalen.se/sighting/336243,true,1,Artportalen,2006-06-27T00:00:00,2006-06-27T23:59:59,2009-07-12T11:48:00,56.52185,15.6063,100,"Klättorp, 550 m NNV om avtaget vid väg 123, Sm",Emmaboda,Kalmar,Småland,Floraväktarna,Per-Olof Halvarsson,Åke Rühling,"Lövdunge på tomt, bland parkgröe",,,1236,Art,Kärlväxter,blårapunkel,Phyteuma nigrum,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,4102,Floraväkteri Sverige,Floraväkteri,https://www.artportalen.se/Project/View/4102,,,,,,,POINT (15.606296683715827 56.52185266237099),POINT (15.606296683715827 56.52185266237099)
SpeciesObservationsInvasive.VSXXE44BkijtpyHn8RhJ,urn:lsid:artportalen.se:sighting:336949,https://www.artportalen.se/sighting/336949,true,1,Artportalen,2002-01-01T00:00:00,2002-12-31T23:59:59,2014-02-15T14:38:04,56.18794,15.85805,10,"Häljarums naturreservat, Bl",Karlskrona,Blekinge,Blekinge,Floraväktarna,Åke Widgren,K-län Floraväktarna,f.d. grustag,,,1037,Art,Kärlväxter,rundmynta,Mentha suaveolens,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,10,stjälkar/strån/skott,true,false,false,0,4102,Floraväkteri Sverige,Floraväkteri,https://www.artportalen.se/Project/View/4102,,,,,,,POINT (15.858049542090326 56.187937351007434),POINT (15.858049542090326 56.187937351007434)
SpeciesObservationsInvasive.7yXXE44BkijtpyHn8RlJ,urn:lsid:artportalen.se:sighting:336255,https://www.artportalen.se/sighting/336255,true,1,Artportalen,2010-06-07T00:00:00,2010-06-07T23:59:59,2010-06-07T22:01:00,59.38625,18.01864,5,"Ulriksdal, V värdshuset, Upl",Solna,Stockholm,Uppland,,"Anders Svenson, Margareta Edqvist",Anders Svenson,park,,,1236,Art,Kärlväxter,blårapunkel,Phyteuma nigrum,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,10,plantor/tuvor,true,false,false,0,,,,,,,,,,,POINT (18.018641530843233 59.38624622301526),POINT (18.018641530843233 59.38624622301526)
SpeciesObservationsInvasive.e8PXE44BSBpt87cS9Pyh,30dc2024-a0c9-4b02-9a55-0e6dbd440929,,false,16,Riksskogstaxeringen,2011-08-09T00:00:00,2011-08-09T23:59:59,,63.19576,13.26421,1131,,Åre,Jämtland,Jämtland,,NFI Field Team,,,,,223316,Art,Kärlväxter,tysklönn,Acer pseudoplatanus,false,NA,false,true,false,SE,,false,false,false,true,false,,,,,,,true,true,false,0,,,,,,,,,,,POINT (13.264210254268699 63.19575741354337),POINT (13.264210254268699 63.19575741354337)
SpeciesObservationsInvasive.qcPXE44BSBpt87cS9Pyh,4e2f90e5-7ed8-4c00-8e89-988255d3f65a,,false,16,Riksskogstaxeringen,2013-07-01T00:00:00,2013-07-01T23:59:59,,56.64791,16.63331,1131,,Mörbylånga,Kalmar,Öland,,NFI Field Team,,,,,222159,Art,Kärlväxter,contortatall,Pinus contorta,false,NA,false,true,false,SE,,false,false,false,true,false,,,,,,,true,true,false,0,,,,,,,,,,,POINT (16.633312336056882 56.647914290694345),POINT (16.633312336056882 56.647914290694345)
SpeciesObservationsInvasive.RiXXE44BkijtpyHn-x8u,urn:lsid:artportalen.se:sighting:337405,https://www.artportalen.se/sighting/337405,true,1,Artportalen,2010-08-13T00:00:00,2010-08-13T23:59:59,2010-12-02T08:40:00,55.51889,13.00811,10,"Tygelsjö, 100 m O Kyrkan, slänt, Sk",Malmö,Skåne,Skåne,,Mats Gustavsson,Mats Gustavsson,Ruderat,,,1037,Art,Kärlväxter,rundmynta,Mentha suaveolens,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (13.008108370609776 55.51889301884435),POINT (13.008108370609776 55.51889301884435)
SpeciesObservationsInvasive.iiXXE44BkijtpyHn-yEv,urn:lsid:artportalen.se:sighting:337033,https://www.artportalen.se/sighting/337033,true,1,Artportalen,2003-06-15T00:00:00,2003-06-15T23:59:59,2011-03-03T13:34:00,56.20492,15.66918,100,"Kummeln, Bl",Karlskrona,Blekinge,Blekinge,,Bengt Nilsson,Bengt Nilsson,Ängs- och betesmark,,,1237,Art,Kärlväxter,vitrapunkel,Phyteuma spicatum,false,NA,false,true,false,,,false,false,false,false,false,,blomning,,,,,true,false,false,0,,,,,,,,,,,POINT (15.669178753604193 56.20491971822495),POINT (15.669178753604193 56.20491971822495)
SpeciesObservationsInvasive.18TYE44BSBpt87cSPUvl,urn:lsid:shark:observation:7b07293679bbafba0da095e701f5d596-106657,,true,8,SHARK_Zoobenthos_1981_2013_UMSC_Holmo,1998-06-25T00:00:00,1998-06-25T00:00:00,,63.60833,20.74167,1,,Umeå,Västerbotten,Västerbotten,,,HO 1,,,,106657,Art,Blötdjur,nyzeeländsk tusensnäcka,Potamopyrgus antipodarum,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (20.74167 63.60833),POINT (20.74167 63.60833)
