FID,occurrenceId,url,isPresentObservation,dataProviderId,datasetName,startDate,endDate,modified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,county,province,institutionCode,recordedBy,reportedBy,habitat,occurrenceRemarks,eventRemarks,dyntaxaTaxonId,taxonCategory,organismGroup,vernacularName,scientificName,isRedlisted,redlistCategory,isProtectedByLaw,isInvasiveInSweden,isInvasiveEu,invasiveRiskCategory,actionPlan,isHabitatsDirectiveAnnex2,isHabitatsDirectiveAnnex4,isHabitatsDirectiveAnnex5,isVerified,isUncertainIdentification,activity,lifeStage,gender,substrate,organismQuantity,organismQuantityUnit,isNaturalOccurrence,isNeverFoundObservation,isNotRediscoveredObservation,birdNestActivityId,project1Id,project1Name,project1Category,project1Url,project1Values,project2Id,project2Name,project2Category,project2Url,project2Values,point,pointLocation
SpeciesObservationsInvasive.x-7EE44BcnWOXMpyBsG9,urn:lsid:shark:observation:ed260c6fd41811958a8206691b0d3fd7-232586,,true,8,SHARK_Epibenthos_2009_NLST_Makrofytkampanjen,2009-09-10T00:00:00,2009-09-10T00:00:00,,57.50057,11.93407,1,,Kungsbacka,Halland,Halland,,Bo Gustafsson,4,,,,232586,Art,Alger,grov agaralg,Gracilaria vermiculophylla,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.93407 57.50057),POINT (11.93407 57.50057)
SpeciesObservationsInvasive.Le7EE44BcnWOXMpyBsS9,urn:lsid:shark:observation:537505567ca66d5052bcaa0815dcb531-232586,,true,8,SHARK_Epibenthos_2009_NLST_Makrofytkampanjen,2009-09-11T00:00:00,2009-09-11T00:00:00,,57.51255,11.94163,1,,Kungsbacka,Halland,Halland,,Bo Gustafsson,8,,,,232586,Art,Alger,grov agaralg,Gracilaria vermiculophylla,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.94163 57.51255),POINT (11.94163 57.51255)
SpeciesObservationsInvasive.g-7EE44BcnWOXMpyBsS9,urn:lsid:shark:observation:a9c7cf55c4f2ca36b2febef1179d9e5e-232586,,true,8,SHARK_Epibenthos_2009_NLST_Makrofytkampanjen,2009-09-11T00:00:00,2009-09-11T00:00:00,,57.52193,11.92703,1,,Kungsbacka,Halland,Halland,,Bo Gustafsson,7,,,,232586,Art,Alger,grov agaralg,Gracilaria vermiculophylla,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.92703 57.52193),POINT (11.92703 57.52193)
SpeciesObservationsInvasive.V-7EE44BcnWOXMpyK_SE,urn:lsid:herbarium.emg.umu.se:observation:UPS*F-749192*6137,,true,7,Virtual Herbarium,1977-09-08T23:00:00,1977-09-08T23:00:00,,60.68004,17.10748,500,,Gävle,Gävleborg,Gästrikland,,J.Ax. Nannfeldt,,,Lövudden,,6137,Art,Storsvampar,lackskorv,Rhizoctonia solani,false,LC,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (17.107479712401 60.680041494001),POINT (17.107479712401 60.680041494001)
SpeciesObservationsInvasive.Ie7EE44BcnWOXMpyK_WF,urn:lsid:herbarium.emg.umu.se:observation:UPS*F-749189*6137,,true,7,Virtual Herbarium,1970-08-04T23:00:00,1970-08-04T23:00:00,,60.68004,17.10748,500,,Gävle,Gävleborg,Gästrikland,,J.Ax. Nannfeldt,,,Lövudden,,6137,Art,Storsvampar,lackskorv,Rhizoctonia solani,false,LC,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (17.107479712401 60.680041494001),POINT (17.107479712401 60.680041494001)
SpeciesObservationsInvasive.xu7EE44BcnWOXMpyK_aF,urn:lsid:herbarium.emg.umu.se:observation:UPS*F-749195*6137,,true,7,Virtual Herbarium,1973-07-23T23:00:00,1973-07-23T23:00:00,,60.68004,17.10748,500,,Gävle,Gävleborg,Gästrikland,,J.Ax. Nannfeldt,,,Lövudden,,6137,Art,Storsvampar,lackskorv,Rhizoctonia solani,false,LC,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (17.107479712401 60.680041494001),POINT (17.107479712401 60.680041494001)
SpeciesObservationsInvasive.wcPXE44BSBpt87cSwslH,urn:lsid:slu.datavardsportalen:TaxonObservationOrFact:1390465,,true,4,MVM,2017-10-10T00:00:00,2017-10-10T00:00:00,2018-07-09T07:45:56,57.05349,15.24291,100,Hjärtsjön G0008,Uppvidinge,Kronoberg,Småland,,Länsstyrelsen Kronobergs län,SLU,"Sjö, Litoral",,,233833,Art,Kräftdjur,signalkräfta,Pacifastacus leniusculus,false,NA,false,true,true,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (15.2429088030925 57.0534862716827),POINT (15.2429088030925 57.0534862716827)
SpeciesObservationsInvasive.28PXE44BSBpt87cSxdN3,def42747-9a45-42bd-accf-969b2c75839a,,false,16,Riksskogstaxeringen,2005-08-19T00:00:00,2005-08-19T23:59:59,,59.60967,14.47504,1131,,Hällefors,Örebro,Västmanland,,NFI Field Team,,,,,222159,Art,Kärlväxter,contortatall,Pinus contorta,false,NA,false,true,false,SE,,false,false,false,true,false,,,,,,,true,true,false,0,,,,,,,,,,,POINT (14.475041542553152 59.60966648703791),POINT (14.475041542553152 59.60966648703791)
SpeciesObservationsInvasive.qSXXE44BkijtpyHn1ASA,urn:lsid:herbarium.emg.umu.se:observation:S*S-HS-9397*220094,,true,7,Virtual Herbarium,1924-09-13T23:00:00,1924-09-13T23:00:00,,55.80765,12.99886,5506,,Kävlinge,Skåne,Skåne,,"Blom, Carl",,,"Skåne, Dösjöbro bangård. TIllsammans med Lepidium neglectum och densiflorum Oenothera sp etc. 14/9 1924, Carl Blom. ""De små enfärgade kantblommorna och förekomsten bland andra amerikanska växter tyda ej på trädgårdsflykting. Carl Blom.""",,220094,Art,Kärlväxter,tigeröga,Coreopsis tinctoria,false,NA,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.99886 55.80765),POINT (12.99886 55.80765)
SpeciesObservationsInvasive.acPXE44BSBpt87cS1ubd,urn:lsid:shark:observation:b19cf4ed38dc8091797c1c166b59043d-261373,,true,8,SHARK_Zoobenthos_2003_2015_NIRAS_OVF,2014-05-27T00:00:00,2014-05-27T00:00:00,,55.65083,13.035,1,,Lomma,Skåne,Skåne,,Wste Nylander,ÖVF 4:11,,,,261373,Art,Kräftdjur,slät havstulpan,Amphibalanus improvisus,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (13.035 55.65083),POINT (13.035 55.65083)
